County Name,Public Health Region (PHR),Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition","Population, Education and Child Care Personnel",,,,,,,,,,,,,
Van Zandt,4/5N,13100,26359,15124,12835,48037,45216,11495,1280,711,16861,1783,,,,,,,,,,,,,
Victoria,8,60590,58083,32000,27516,76348,71388,15242,5624,1030,27119,241,,,,,,,,,,,,,
Walker,6/5S,36770,42474,26443,18608,66420,63471,10049,1526,400,24628,1438,,,,,,,,,,,,,
Waller,6/5S,15640,28620,16722,13195,46544,43350,6546,1182,466,16819,1813,,,,,,,,,,,,,
Ward,44449,4940,6704,3770,3235,9651,8921,1629,137,92,3551,0,,,,,,,,,,,,,
Washington,7,63100,25587,14271,11989,30940,29086,7889,2581,1018,10662,72,,,,,,,,,,,,,
Webb,11,206550,278208,163278,127698,215919,196916,26921,12073,1646,88397,11668,,,,,,,,,,,,,
Wharton,6/5S,18490,25852,15259,12221,34591,32110,7239,1438,615,12933,1328,,,,,,,,,,,,,
Wheeler,1,3000,2526,1465,1267,4211,3915,1002,200,114,1459,243,,,,,,,,,,,,,
Wichita,44230,76520,77653,44184,38724,111604,105631,19854,8664,2030,42031,3508,,,,,,,,,,,,,
Wilbarger,44230,10600,8404,4823,4430,10971,10361,2421,457,304,4240,27,,,,,,,,,,,,,
Willacy,11,8300,17121,9816,7581,18065,16897,3057,325,557,7612,775,,,,,,,,,,,,,
Williamson,7,449190,529343,306326,244399,493204,458433,73202,14404,4639,146388,19090,,,,,,,,,,,,,
Wilson,8,23300,31885,18864,15103,43258,40488,8411,1224,615,13986,1510,,,,,,,,,,,,,
Winkler,44449,2000,3962,2262,1946,6466,5954,964,102,0,2445,0,,,,,,,,,,,,,
Wise,44230,29680,35322,20009,17324,58448,54722,10598,3589,552,22459,1533,,,,,,,,,,,,,
Wood,4/5N,6700,26070,15016,12912,39990,38005,12527,1046,880,13019,1130,,,,,,,,,,,,,
Yoakum,1,3400,4573,2731,2319,6743,6135,1033,225,60,2367,0,,,,,,,,,,,,,
Young,44230,8500,9324,5368,4750,15127,14219,3774,862,431,5296,626,,,,,,,,,,,,,
Zapata,11,8400,11750,6861,5711,10966,9981,1866,195,202,4642,0,,,,,,,,,,,,,
Zavala,8,2200,8277,4606,3753,9644,8840,1723,25,60,4035,458,,,,,,,,,,,,,
